Abbr.,Feature,Description
DTLL,dTLB-loads,TLB load for data
L1IL,iTLB-loads,TLB loads for instructions
L1DL,L1-dcache-loads,"First-level data cache,load"
LLCR,raw-ll-cache-rd,Attributable Last Level cache memory read
3DRD,raw-l3d-cache-rd,"Attributable Level 3 data or unified cache access, read"
2DCD,raw-l2d-cache-rd,"Attributable Level 2 data cache access, read"
1DLM,L1-dcache-load-misses,"First-level data cache,load misses"
BRLM,branch-load-misses,"Branch predicts, load misses"
BRSM,branch-store-misses,"Branch prediction, store misses"
DTLM,dTLB-load-misses,"TLB for data, load misses"
ITLM,iTLB-load-misses,"TLB for instructions, load misses"
1DSM,L1-dcache-load-misses,"Level 1 data cache, load misses"
1ILM,L1-dcache-store-misses,"Level 1 data cache, store misses"
BRMS,branch-misses,Branch prediction misses
CAMI,cache-misses,Cache misses
