Initial Micro-architecture Dependent Features collected,Top Improtant Features for SPBench Construction ,raw-l1d-tlb,raw-l1d-tlb-rd,cache-references,raw-br-immed-spec,branch-stores,raw-rc-ld-spec
,,raw-l1d-cache-wr,raw-inst-spec,L1-dcache-loads,raw-l1i-tlb,raw-l2d-tlb-wr,raw-dmb-spec
,,raw-mem-access-wr,raw-l1d-cache-rd,dTLB-loads,raw-l2d-tlb-rd,raw-br-return-spec,raw-l2d-cache-rd
,,raw-inst-retired,raw-mem-access-rd,raw-br-retired,raw-unaligned-ldst-spec,raw-strex-pass-spec,raw-l3d-cache-refill
,,raw-l1d-cache,raw-ld-spec,L1-dcache-stores,raw-exc-dabort,iTLB-loads,raw-ldrex-spec
,,raw-dp-spec,raw-pc-write-spec,raw-br-pred,raw-br-indirect-spec,raw-strex-spec,raw-unaligned-st-spec
,,raw-st-spec,raw-mem-access,branch-loads,raw-l1d-tlb-refill-wr,raw-l2d-cache-wr,
,,raw-l1d-tlb-wr,raw-l1i-cache,raw-l1d-tlb-refill-rd,raw-strex-fail-spec,raw-ase-spec,
,Reduced Set of Features Identified,branch-load-misses,raw-l1d-tlb-refill,raw-bus-cycles,raw-ldst-spec,cache-misses,raw-l2d-cache-refill-wr
,,branch-store-misses,raw-l1i-cache-refill,raw-cid-write-retired,raw-ll-cache-rd,stalled-cycles-backend,raw-l2d-tlb
,,dTLB-load-misses,raw-l1i-tlb-refill,raw-dtlb-walk,raw-ll-cache-miss-rd,stalled-cycles-frontend,raw-l2d-tlb-refill
,,iTLB-load-misses,raw-l2d-cache,raw-cnt-cycles,raw-pc-write-retired,raw-br-immed-retired,raw-l2d-tlb-refill-rd
,,L1-dcache-load-misses,raw-l2d-cache-refill,raw-crypto-spec,raw-rc-st-spec,raw-br-mis-pred,raw-l2d-tlb-refill-wr
,,L1-dcache-store-misses,raw-l2d-cache-allocate,raw-dsb-spec,raw-st-retired,raw-br-mis-pred-retired,raw-l3d-cache
,,L1-icache-load-misses,raw-l2d-cache-inval,raw-exc-hvc,raw-stall-backend,raw-br-return-retired,raw-l3d-cache-allocate
,,L1-icache-loads,raw-l2d-cache-refill-rd,raw-exc-irq,raw-stall-frontend,raw-bus-access,raw-l3d-cache-rd
,,branch-misses,raw-l2d-cache-wb,raw-exc-pabort,raw-l1d-cache-refill-wr,raw-bus-access-rd,raw-l3d-cache-refill-rd
,,bus-cycles,raw-exc-undef,raw-exc-return,raw-bus-access-wr,raw-isb-spec,raw-ld-retired
,,raw-exc-trap-other,raw-l1d-cache-refill,raw-exc-svc,raw-unaligned-ld-spec,raw-l1d-cache-refill-rd,
,,raw-l1d-cache-refill-outer,raw-l1d-cache-wb,raw-exc-taken,raw-l1d-cache-refill-inner,raw-unaligned-ldst-retired,
,,raw-sve-inst-retired,raw-ttbr-write-retired,raw-exc-trap-dabort,raw-vfp-spec,raw-l2d-cache-wb-clean,
,,raw-l1d-cache-wb-clean,raw-l1d-cache-wb-victim,raw-l1d-cache-inval,raw-itlb-walk,raw-l2d-cache-wb-victim,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
